"","Verb","Tense","Person","Number","Data.point","Forms","Radical"
"78","Vouloir","INF/PART",3,"pl","Châteauponsac","ɛ̃ vɔˈlã",NA
"79","Savoir","INF/PART",1,"sg","Châteauponsac","saˈvɛr",NA
"80","Savoir","INF/PART",2,"sg","Châteauponsac","soˈɟy",NA
"81","Savoir","INF/PART",3,"sg","Châteauponsac","soˈɟy",NA
"82","Savoir","INF/PART",1,"pl","Châteauponsac","soˈɟydɔ",NA
"83","Savoir","INF/PART",2,"pl","Châteauponsac","soɟyˈdaː",NA
"84","Savoir","INF/PART",3,"pl","Châteauponsac","ɛ̃ saˈʃã",NA
"85","Devoir","INF/PART",1,"sg","Châteauponsac","deˈvɛr",NA
"86","Devoir","INF/PART",2,"sg","Châteauponsac","deˈɟy",NA
"87","Devoir","INF/PART",3,"sg","Châteauponsac","deˈɟy",NA
"88","Devoir","INF/PART",1,"pl","Châteauponsac","deˈɟydɔ",NA
"89","Devoir","INF/PART",2,"pl","Châteauponsac","deɟyˈdaː",NA
"90","Devoir","INF/PART",3,"pl","Châteauponsac","ɛ̃ deˈvã",NA
"91","Faire","INF/PART",1,"sg","Châteauponsac","ˈfar",NA
"92","Faire","INF/PART",2,"sg","Châteauponsac","ˈfaj",NA
"93","Faire","INF/PART",3,"sg","Châteauponsac","ˈfaj",NA
"94","Faire","INF/PART",1,"pl","Châteauponsac","ˈfajtɔ",NA
"95","Faire","INF/PART",2,"pl","Châteauponsac","fajˈtaː",NA
"96","Faire","INF/PART",3,"pl","Châteauponsac","ɛ̃ faˈzã",NA
"97","Venir","INF/PART",1,"sg","Châteauponsac","veˈnir",NA
"98","Venir","INF/PART",2,"sg","Châteauponsac","vɛ̃nˈɟy",NA
"99","Venir","INF/PART",3,"sg","Châteauponsac","vɛ̃nˈɟy",NA
"100","Venir","INF/PART",1,"pl","Châteauponsac","vɛ̃nˈɟydɔ",NA
"101","Venir","INF/PART",2,"pl","Châteauponsac","vɛ̃nɟyˈdaː",NA
"102","Venir","INF/PART",3,"pl","Châteauponsac","ɛ̃ veˈnã",NA
"103","Tenir","INF/PART",1,"sg","Châteauponsac","teˈnir / ˈtɛnrɛ",NA
"104","Tenir","INF/PART",2,"sg","Châteauponsac","tɛ̃nˈɟy",NA
"105","Tenir","INF/PART",3,"sg","Châteauponsac","tɛ̃nˈɟy",NA
"106","Tenir","INF/PART",1,"pl","Châteauponsac","tɛ̃nˈɟydɔ",NA
"107","Tenir","INF/PART",2,"pl","Châteauponsac","tɛ̃nɟyˈdaː",NA
"108","Tenir","INF/PART",3,"pl","Châteauponsac","ɛ̃ teˈnã",NA
"109","Dire","INF/PART",1,"sg","Châteauponsac","ˈdirɛ",NA
"110","Dire","INF/PART",2,"sg","Châteauponsac","ˈdi",NA
"111","Dire","INF/PART",3,"sg","Châteauponsac","ˈdi",NA
"112","Dire","INF/PART",1,"pl","Châteauponsac","ˈditɔ",NA
"113","Dire","INF/PART",2,"pl","Châteauponsac","diˈtaː",NA
"114","Dire","INF/PART",3,"pl","Châteauponsac","ɛ̃ diˈzã",NA
"115","Croire","INF/PART",1,"sg","Châteauponsac","ˈkrajrɛ",NA
"116","Croire","INF/PART",2,"sg","Châteauponsac","kreˈɟy",NA
"117","Croire","INF/PART",3,"sg","Châteauponsac","kreˈɟy",NA
"118","Croire","INF/PART",1,"pl","Châteauponsac","kreˈɟydɔ",NA
"119","Croire","INF/PART",2,"pl","Châteauponsac","kreɟyˈdaː",NA
"120","Croire","INF/PART",3,"pl","Châteauponsac","ɛ̃ kreˈzã",NA
"121","Prendre","INF/PART",1,"sg","Châteauponsac","ˈprɛnɛ",NA
"122","Prendre","INF/PART",2,"sg","Châteauponsac","ˈpraj",NA
"123","Prendre","INF/PART",3,"sg","Châteauponsac","ˈpraj",NA
"124","Prendre","INF/PART",1,"pl","Châteauponsac","ˈprɛdɔ",NA
"125","Prendre","INF/PART",2,"pl","Châteauponsac","prɛˈdaː",NA
"126","Prendre","INF/PART",3,"pl","Châteauponsac","ɛ̃ prɛˈnã",NA
"127","Voir","INF/PART",1,"sg","Châteauponsac","ˈvajrɛ",NA
"128","Voir","INF/PART",2,"sg","Châteauponsac","ˈvy",NA
"129","Voir","INF/PART",3,"sg","Châteauponsac","ˈvy",NA
"130","Voir","INF/PART",1,"pl","Châteauponsac","ˈvydɔ",NA
"131","Voir","INF/PART",2,"pl","Châteauponsac","vyˈdaː",NA
"132","Voir","INF/PART",3,"pl","Châteauponsac","ɛ̃ veˈzã",NA
"133","Chanter","INF/PART",1,"sg","Cellefrouin","ʃãta",NA
"134","Chanter","INF/PART",2,"sg","Cellefrouin","ʃãta",NA
"135","Chanter","INF/PART",3,"sg","Cellefrouin","ʃãta",NA
"136","Chanter","INF/PART",1,"pl","Cellefrouin","ʃãtad",NA
"137","Chanter","INF/PART",2,"pl","Cellefrouin","ʃãtad",NA
"138","Chanter","INF/PART",3,"pl","Cellefrouin","ã ʃãtã",NA
"139","Lier","INF/PART",1,"sg","Cellefrouin","lja",NA
"140","Lier","INF/PART",2,"sg","Cellefrouin","lja",NA
"141","Lier","INF/PART",3,"sg","Cellefrouin","lja",NA
"142","Lier","INF/PART",1,"pl","Cellefrouin","ljad",NA
"143","Lier","INF/PART",2,"pl","Cellefrouin","ljad",NA
"144","Lier","INF/PART",3,"pl","Cellefrouin","ã ljã",NA
"145","Couver","INF/PART",1,"sg","Cellefrouin","kwa",NA
"146","Couver","INF/PART",2,"sg","Cellefrouin","kwa",NA
"147","Couver","INF/PART",3,"sg","Cellefrouin","kwa",NA
"148","Couver","INF/PART",1,"pl","Cellefrouin","kwad",NA
"149","Couver","INF/PART",2,"pl","Cellefrouin","kwad",NA
"150","Couver","INF/PART",3,"pl","Cellefrouin","ã kwã",NA
"151","Acheter","INF/PART",1,"sg","Cellefrouin","aʃ(ə)ta",NA
"152","Acheter","INF/PART",2,"sg","Cellefrouin","aʃ(ə)ta",NA
"153","Acheter","INF/PART",3,"sg","Cellefrouin","aʃ(ə)ta",NA
"154","Acheter","INF/PART",1,"pl","Cellefrouin","aʃ(ə)tad",NA
"155","Acheter","INF/PART",2,"pl","Cellefrouin","aʃ(ə)tad",NA
"156","Acheter","INF/PART",3,"pl","Cellefrouin","ãaʃ(ə)tã",NA
"157","Aller","INF/PART",1,"sg","Cellefrouin","ana",NA
"158","Aller","INF/PART",2,"sg","Cellefrouin","ana",NA
"159","Aller","INF/PART",3,"sg","Cellefrouin","ana",NA
"160","Aller","INF/PART",1,"pl","Cellefrouin","anad",NA
"161","Aller","INF/PART",2,"pl","Cellefrouin","anad",NA
"162","Aller","INF/PART",3,"pl","Cellefrouin","ãanã",NA
"163","Blanchir","INF/PART",1,"sg","Cellefrouin","bjãʃi",NA
"164","Blanchir","INF/PART",2,"sg","Cellefrouin","bjãʃi",NA
"165","Blanchir","INF/PART",3,"sg","Cellefrouin","bjãʃi",NA
"166","Blanchir","INF/PART",1,"pl","Cellefrouin","bjãʃid",NA
"167","Blanchir","INF/PART",2,"pl","Cellefrouin","bjãʃid",NA
"168","Blanchir","INF/PART",3,"pl","Cellefrouin","ã bjãʃisã",NA
"169","Couvrir","INF/PART",1,"sg","Cellefrouin","(Missing)",NA
"170","Couvrir","INF/PART",2,"sg","Cellefrouin","(Missing)",NA
"171","Couvrir","INF/PART",3,"sg","Cellefrouin","(Missing)",NA
"172","Couvrir","INF/PART",1,"pl","Cellefrouin","(Missing)",NA
"173","Couvrir","INF/PART",2,"pl","Cellefrouin","(Missing)",NA
"174","Couvrir","INF/PART",3,"pl","Cellefrouin","(Missing)",NA
"175","Partir","INF/PART",1,"sg","Cellefrouin","parti",NA
"176","Partir","INF/PART",2,"sg","Cellefrouin","parti",NA
"177","Partir","INF/PART",3,"sg","Cellefrouin","parti",NA
"178","Partir","INF/PART",1,"pl","Cellefrouin","partid",NA
"179","Partir","INF/PART",2,"pl","Cellefrouin","partid",NA
"180","Partir","INF/PART",3,"pl","Cellefrouin","ã partã",NA
"181","Vendre","INF/PART",1,"sg","Cellefrouin","vãdr",NA
"182","Vendre","INF/PART",2,"sg","Cellefrouin","vãdy",NA
"183","Vendre","INF/PART",3,"sg","Cellefrouin","vãdy",NA
"184","Vendre","INF/PART",1,"pl","Cellefrouin","vãdyd",NA
"185","Vendre","INF/PART",2,"pl","Cellefrouin","vãdyd",NA
"186","Vendre","INF/PART",3,"pl","Cellefrouin","ã vãdã",NA
"187","Avoir","INF/PART",1,"sg","Cellefrouin","avɛr",NA
"188","Avoir","INF/PART",2,"sg","Cellefrouin","aɡy",NA
"189","Avoir","INF/PART",3,"sg","Cellefrouin","aɡy",NA
"190","Avoir","INF/PART",1,"pl","Cellefrouin","aɡyd",NA
"191","Avoir","INF/PART",2,"pl","Cellefrouin","aɡyd",NA
"192","Avoir","INF/PART",3,"pl","Cellefrouin","ãajã",NA
"193","Être","INF/PART",1,"sg","Cellefrouin","etr",NA
"194","Être","INF/PART",2,"sg","Cellefrouin","eta",NA
"195","Être","INF/PART",3,"sg","Cellefrouin","eta",NA
"196","Être","INF/PART",1,"pl","Cellefrouin","(Missing)",NA
"197","Être","INF/PART",2,"pl","Cellefrouin","(Missing)",NA
"198","Être","INF/PART",3,"pl","Cellefrouin","ãetã",NA
"199","Pouvoir","INF/PART",1,"sg","Cellefrouin","pødɛr",NA
"200","Pouvoir","INF/PART",2,"sg","Cellefrouin","pøɡy",NA
"201","Pouvoir","INF/PART",3,"sg","Cellefrouin","pøɡy",NA
"202","Pouvoir","INF/PART",1,"pl","Cellefrouin","(Missing)",NA
"203","Pouvoir","INF/PART",2,"pl","Cellefrouin","(Missing)",NA
"204","Pouvoir","INF/PART",3,"pl","Cellefrouin","ã pødã",NA
"205","Vouloir","INF/PART",1,"sg","Cellefrouin","vɔlɛr",NA
"206","Vouloir","INF/PART",2,"sg","Cellefrouin","voɡy",NA
"207","Vouloir","INF/PART",3,"sg","Cellefrouin","voɡy",NA
"208","Vouloir","INF/PART",1,"pl","Cellefrouin","voɡyd",NA
"209","Vouloir","INF/PART",2,"pl","Cellefrouin","voɡyd",NA
"210","Vouloir","INF/PART",3,"pl","Cellefrouin","ã vɔlã",NA
"211","Savoir","INF/PART",1,"sg","Cellefrouin","savɛr",NA
"212","Savoir","INF/PART",2,"sg","Cellefrouin","saɡy",NA
"213","Savoir","INF/PART",3,"sg","Cellefrouin","saɡy",NA
"214","Savoir","INF/PART",1,"pl","Cellefrouin","saɡyd",NA
"215","Savoir","INF/PART",2,"pl","Cellefrouin","saɡyd",NA
"216","Savoir","INF/PART",3,"pl","Cellefrouin","ã saʃã",NA
