"","Verb","Tense","Person","Number","Data.point","Forms","Radical"
"2400","Acheter","IMPERF-IND",3,"pl","Dompierre","aʃ(ə)tɛvã",NA
"2401","Aller","IMPERF-IND",1,"sg","Dompierre","anɛv",NA
"2402","Aller","IMPERF-IND",2,"sg","Dompierre","anɛvɑ",NA
"2403","Aller","IMPERF-IND",3,"sg","Dompierre","anɛv",NA
"2404","Aller","IMPERF-IND",1,"pl","Dompierre","anɛvã",NA
"2405","Aller","IMPERF-IND",2,"pl","Dompierre","w anɛvɛ",NA
"2406","Aller","IMPERF-IND",3,"pl","Dompierre","anɛvã",NA
"2407","Blanchir","IMPERF-IND",1,"sg","Dompierre","blãʃisɛv",NA
"2408","Blanchir","IMPERF-IND",2,"sg","Dompierre","blãʃisɛvɑ",NA
"2409","Blanchir","IMPERF-IND",3,"sg","Dompierre","blãʃisɛv",NA
"2410","Blanchir","IMPERF-IND",1,"pl","Dompierre","blãʃisɛvã",NA
"2411","Blanchir","IMPERF-IND",2,"pl","Dompierre","blãʃisɛvɛ",NA
"2412","Blanchir","IMPERF-IND",3,"pl","Dompierre","blãʃisɛvã",NA
"2413","Couvrir","IMPERF-IND",1,"sg","Dompierre","kuvrɛv",NA
"2414","Couvrir","IMPERF-IND",2,"sg","Dompierre","kuvrɛvɑ",NA
"2415","Couvrir","IMPERF-IND",3,"sg","Dompierre","kuvrɛv",NA
"2416","Couvrir","IMPERF-IND",1,"pl","Dompierre","kuvrɛvã",NA
"2417","Couvrir","IMPERF-IND",2,"pl","Dompierre","kuvrɛvɛ",NA
"2418","Couvrir","IMPERF-IND",3,"pl","Dompierre","kuvrɛvã",NA
"2419","Partir","IMPERF-IND",1,"sg","Dompierre","(Missing)",NA
"2420","Partir","IMPERF-IND",2,"sg","Dompierre","(Missing)",NA
"2421","Partir","IMPERF-IND",3,"sg","Dompierre","(Missing)",NA
"2422","Partir","IMPERF-IND",1,"pl","Dompierre","(Missing)",NA
"2423","Partir","IMPERF-IND",2,"pl","Dompierre","(Missing)",NA
"2424","Partir","IMPERF-IND",3,"pl","Dompierre","(Missing)",NA
"2425","Vendre","IMPERF-IND",1,"sg","Dompierre","vãdɛv",NA
"2426","Vendre","IMPERF-IND",2,"sg","Dompierre","vãdɛvɑ",NA
"2427","Vendre","IMPERF-IND",3,"sg","Dompierre","vãdɛv",NA
"2428","Vendre","IMPERF-IND",1,"pl","Dompierre","vãdɛvã",NA
"2429","Vendre","IMPERF-IND",2,"pl","Dompierre","vãdɛvɛ",NA
"2430","Vendre","IMPERF-IND",3,"pl","Dompierre","vãdɛvã",NA
"2431","Avoir","IMPERF-IND",1,"sg","Dompierre","avi",NA
"2432","Avoir","IMPERF-IND",2,"sg","Dompierre","avjɑ",NA
"2433","Avoir","IMPERF-IND",3,"sg","Dompierre","avi",NA
"2434","Avoir","IMPERF-IND",1,"pl","Dompierre","avjã",NA
"2435","Avoir","IMPERF-IND",2,"pl","Dompierre","w avjɛ",NA
"2436","Avoir","IMPERF-IND",3,"pl","Dompierre","avjã",NA
"2437","Être","IMPERF-IND",1,"sg","Dompierre","ɛr",NA
"2438","Être","IMPERF-IND",2,"sg","Dompierre","ɛrɑ",NA
"2439","Être","IMPERF-IND",3,"sg","Dompierre","ɛr",NA
"2440","Être","IMPERF-IND",1,"pl","Dompierre","ɛrã",NA
"2441","Être","IMPERF-IND",2,"pl","Dompierre","w ɛrɛ",NA
"2442","Être","IMPERF-IND",3,"pl","Dompierre","ɛrã",NA
"2443","Pouvoir","IMPERF-IND",1,"sg","Dompierre","pødɛv",2
"2444","Pouvoir","IMPERF-IND",2,"sg","Dompierre","pødɛvɑ",2
"2445","Pouvoir","IMPERF-IND",3,"sg","Dompierre","pødɛv",2
"2446","Pouvoir","IMPERF-IND",1,"pl","Dompierre","pødɛvã",2
"2447","Pouvoir","IMPERF-IND",2,"pl","Dompierre","pødɛvɛ",2
"2448","Pouvoir","IMPERF-IND",3,"pl","Dompierre","pødɛvã",2
"2449","Vouloir","IMPERF-IND",1,"sg","Dompierre","vulɛv",2
"2450","Vouloir","IMPERF-IND",2,"sg","Dompierre","vulɛvɑ",2
"2451","Vouloir","IMPERF-IND",3,"sg","Dompierre","vulɛv",2
"2452","Vouloir","IMPERF-IND",1,"pl","Dompierre","vulɛvã",2
"2453","Vouloir","IMPERF-IND",2,"pl","Dompierre","vulɛvɛ",2
"2454","Vouloir","IMPERF-IND",3,"pl","Dompierre","vulɛvã",2
"2455","Savoir","IMPERF-IND",1,"sg","Dompierre","savi",3
"2456","Savoir","IMPERF-IND",2,"sg","Dompierre","savjɑ",3
"2457","Savoir","IMPERF-IND",3,"sg","Dompierre","savi",3
"2458","Savoir","IMPERF-IND",1,"pl","Dompierre","savjã",3
"2459","Savoir","IMPERF-IND",2,"pl","Dompierre","savjɛ",3
"2460","Savoir","IMPERF-IND",3,"pl","Dompierre","savjã",3
"2461","Devoir","IMPERF-IND",1,"sg","Dompierre","d(ə)vɛv",2
"2462","Devoir","IMPERF-IND",2,"sg","Dompierre","dəvɛvɑ",2
"2463","Devoir","IMPERF-IND",3,"sg","Dompierre","dəvɛv",2
"2464","Devoir","IMPERF-IND",1,"pl","Dompierre","dəvɛvã",2
"2465","Devoir","IMPERF-IND",2,"pl","Dompierre","dəvɛvɛ",2
"2466","Devoir","IMPERF-IND",3,"pl","Dompierre","dəvɛvã",2
"2467","Faire","IMPERF-IND",1,"sg","Dompierre","fazɛv",3
"2468","Faire","IMPERF-IND",2,"sg","Dompierre","fazɛvɑ",3
"2469","Faire","IMPERF-IND",3,"sg","Dompierre","fazɛv",3
"2470","Faire","IMPERF-IND",1,"pl","Dompierre","fazɛvã",3
"2471","Faire","IMPERF-IND",2,"pl","Dompierre","fazɛvɛ",3
"2472","Faire","IMPERF-IND",3,"pl","Dompierre","fazɛvã",3
"2473","Venir","IMPERF-IND",1,"sg","Dompierre","v(ə)nɛv",2
"2474","Venir","IMPERF-IND",2,"sg","Dompierre","v(ə)nɛvɑ",2
"2475","Venir","IMPERF-IND",3,"sg","Dompierre","v(ə)nɛv",2
"2476","Venir","IMPERF-IND",1,"pl","Dompierre","v(ə)nɛvã",2
"2477","Venir","IMPERF-IND",2,"pl","Dompierre","v(ə)nɛvɛ",2
"2478","Venir","IMPERF-IND",3,"pl","Dompierre","v(ə)nɛvã",2
"2479","Tenir","IMPERF-IND",1,"sg","Dompierre","t(ə)nɛv",3
"2480","Tenir","IMPERF-IND",2,"sg","Dompierre","t(ə)nɛvɑ",3
"2481","Tenir","IMPERF-IND",3,"sg","Dompierre","t(ə)nɛv",3
"2482","Tenir","IMPERF-IND",1,"pl","Dompierre","t(ə)nɛvã",3
"2483","Tenir","IMPERF-IND",2,"pl","Dompierre","t(ə)nɛvɛ",3
"2484","Tenir","IMPERF-IND",3,"pl","Dompierre","t(ə)nɛvã",3
"2485","Dire","IMPERF-IND",1,"sg","Dompierre","dizɛv",2
"2486","Dire","IMPERF-IND",2,"sg","Dompierre","dizɛvɑ",2
"2487","Dire","IMPERF-IND",3,"sg","Dompierre","dizɛv",2
"2488","Dire","IMPERF-IND",1,"pl","Dompierre","dizɛvã",2
"2489","Dire","IMPERF-IND",2,"pl","Dompierre","dizɛvɛ",2
"2490","Dire","IMPERF-IND",3,"pl","Dompierre","dizɛvã",2
"2491","Croire","IMPERF-IND",1,"sg","Dompierre","krœzɛv",2
"2492","Croire","IMPERF-IND",2,"sg","Dompierre","krœzɛvɑ",2
"2493","Croire","IMPERF-IND",3,"sg","Dompierre","krœzɛv",2
"2494","Croire","IMPERF-IND",1,"pl","Dompierre","krœzɛvã",2
"2495","Croire","IMPERF-IND",2,"pl","Dompierre","krœzɛvɛ",2
"2496","Croire","IMPERF-IND",3,"pl","Dompierre","krœzɛvã",2
"2497","Prendre","IMPERF-IND",1,"sg","Dompierre","prənɛv",3
"2498","Prendre","IMPERF-IND",2,"sg","Dompierre","prənɛvɑ",3
"2499","Prendre","IMPERF-IND",3,"sg","Dompierre","prənɛv",3
"2500","Prendre","IMPERF-IND",1,"pl","Dompierre","prənɛvã",3
"2501","Prendre","IMPERF-IND",2,"pl","Dompierre","prənɛvɛ",3
"2502","Prendre","IMPERF-IND",3,"pl","Dompierre","prənɛvã",3
"2503","Voir","IMPERF-IND",1,"sg","Dompierre","v(ə)zɛv",3
"2504","Voir","IMPERF-IND",2,"sg","Dompierre","v(ə)zɛvɑ",3
"2505","Voir","IMPERF-IND",3,"sg","Dompierre","v(ə)zɛv",3
"2506","Voir","IMPERF-IND",1,"pl","Dompierre","v(ə)zɛvã",3
"2507","Voir","IMPERF-IND",2,"pl","Dompierre","v(ə)zɛvɛ",3
"2508","Voir","IMPERF-IND",3,"pl","Dompierre","v(ə)zɛvã",3
"2509","Chanter","IMPERF-IND",1,"sg","Bonnat","ʃãtɔv",NA
"2510","Chanter","IMPERF-IND",2,"sg","Bonnat","ʃãtɔvɑ",NA
"2511","Chanter","IMPERF-IND",3,"sg","Bonnat","ʃãtɔv",NA
"2512","Chanter","IMPERF-IND",1,"pl","Bonnat","ʃãtɔvɛ̃",NA
"2513","Chanter","IMPERF-IND",2,"pl","Bonnat","ʃãtɔve",NA
"2514","Chanter","IMPERF-IND",3,"pl","Bonnat","ʃãtɔvɛ̃",NA
"2515","Lier","IMPERF-IND",1,"sg","Bonnat","jɔv",NA
"2516","Lier","IMPERF-IND",2,"sg","Bonnat","jɔvɑ",NA
"2517","Lier","IMPERF-IND",3,"sg","Bonnat","jɔv",NA
"2518","Lier","IMPERF-IND",1,"pl","Bonnat","jɔvɛ̃",NA
"2519","Lier","IMPERF-IND",2,"pl","Bonnat","jɔve",NA
"2520","Lier","IMPERF-IND",3,"pl","Bonnat","jɔvɛ̃",NA
"2521","Couver","IMPERF-IND",1,"sg","Bonnat","(Missing)",NA
"2522","Couver","IMPERF-IND",2,"sg","Bonnat","(Missing)",NA
"2523","Couver","IMPERF-IND",3,"sg","Bonnat","(Missing)",NA
"2524","Couver","IMPERF-IND",1,"pl","Bonnat","(Missing)",NA
"2525","Couver","IMPERF-IND",2,"pl","Bonnat","(Missing)",NA
"2526","Couver","IMPERF-IND",3,"pl","Bonnat","(Missing)",NA
"2527","Acheter","IMPERF-IND",1,"sg","Bonnat","aʃ(ə)tɔv",2
"2528","Acheter","IMPERF-IND",2,"sg","Bonnat","aʃ(ə)tɔvɑ",2
"2529","Acheter","IMPERF-IND",3,"sg","Bonnat","aʃ(ə)tɔv",2
"2530","Acheter","IMPERF-IND",1,"pl","Bonnat","aʃ(ə)tɔvɛ̃",2
"2531","Acheter","IMPERF-IND",2,"pl","Bonnat","aʃ(ə)tɔve",2
"2532","Acheter","IMPERF-IND",3,"pl","Bonnat","aʃ(ə)tɔvɛ̃",2
"2533","Aller","IMPERF-IND",1,"sg","Bonnat","nɔv",NA
"2534","Aller","IMPERF-IND",2,"sg","Bonnat","nɔvɑ",NA
"2535","Aller","IMPERF-IND",3,"sg","Bonnat","nɔv",NA
"2536","Aller","IMPERF-IND",1,"pl","Bonnat","nɔvɛ̃",NA
"2537","Aller","IMPERF-IND",2,"pl","Bonnat","nɔve",NA
"2538","Aller","IMPERF-IND",3,"pl","Bonnat","nɔvɛ̃",NA
"2539","Blanchir","IMPERF-IND",1,"sg","Bonnat","bjãʃis /ɔv",NA
"2540","Blanchir","IMPERF-IND",2,"sg","Bonnat","bjãʃisjɑ /ɔvɑ",NA
"2541","Blanchir","IMPERF-IND",3,"sg","Bonnat","bjãʃis /ɔv",NA
"2542","Blanchir","IMPERF-IND",1,"pl","Bonnat","bjãʃisjɛ̃ /ɔvɛ̃",NA
"2543","Blanchir","IMPERF-IND",2,"pl","Bonnat","bjãʃisje /ɔve",NA
"2544","Blanchir","IMPERF-IND",3,"pl","Bonnat","bjãʃisjɛ̃ /ɔvɛ̃",NA
"2545","Couvrir","IMPERF-IND",1,"sg","Bonnat","(Missing)",NA
"2546","Couvrir","IMPERF-IND",2,"sg","Bonnat","(Missing)",NA
"2547","Couvrir","IMPERF-IND",3,"sg","Bonnat","(Missing)",NA
"2548","Couvrir","IMPERF-IND",1,"pl","Bonnat","(Missing)",NA
"2549","Couvrir","IMPERF-IND",2,"pl","Bonnat","(Missing)",NA
"2550","Couvrir","IMPERF-IND",3,"pl","Bonnat","(Missing)",NA
"2551","Partir","IMPERF-IND",1,"sg","Bonnat","partis / partɔv",NA
"2552","Partir","IMPERF-IND",2,"sg","Bonnat","partisjɑ /ɔvɑ",NA
"2553","Partir","IMPERF-IND",3,"sg","Bonnat","partis /ɔv",NA
"2554","Partir","IMPERF-IND",1,"pl","Bonnat","partisjɛ̃ /ɔvɛ̃",NA
"2555","Partir","IMPERF-IND",2,"pl","Bonnat","partisje /ɔve",NA
"2556","Partir","IMPERF-IND",3,"pl","Bonnat","partisjɛ̃ /ɔvɛ̃",NA
"2557","Vendre","IMPERF-IND",1,"sg","Bonnat","vɛ̃dɔv",NA
"2558","Vendre","IMPERF-IND",2,"sg","Bonnat","vɛ̃dɔvɑ",NA
"2559","Vendre","IMPERF-IND",3,"sg","Bonnat","vɛ̃dɔv",NA
"2560","Vendre","IMPERF-IND",1,"pl","Bonnat","vɛ̃dɔvɛ̃",NA
"2561","Vendre","IMPERF-IND",2,"pl","Bonnat","vɛ̃dɔve",NA
"2562","Vendre","IMPERF-IND",3,"pl","Bonnat","vɛ̃dɔvɛ̃",NA
"2563","Avoir","IMPERF-IND",1,"sg","Bonnat","aj",NA
"2564","Avoir","IMPERF-IND",2,"sg","Bonnat","ajɑ",NA
"2565","Avoir","IMPERF-IND",3,"sg","Bonnat","aj",NA
"2566","Avoir","IMPERF-IND",1,"pl","Bonnat","ajɛ̃",NA
"2567","Avoir","IMPERF-IND",2,"pl","Bonnat","aje",NA
"2568","Avoir","IMPERF-IND",3,"pl","Bonnat","ajɛ̃",NA
"2569","Être","IMPERF-IND",1,"sg","Bonnat","ɛr",NA
"2570","Être","IMPERF-IND",2,"sg","Bonnat","ɛrɑ",NA
"2571","Être","IMPERF-IND",3,"sg","Bonnat","ɛr",NA
"2572","Être","IMPERF-IND",1,"pl","Bonnat","ɛrɛ̃",NA
"2573","Être","IMPERF-IND",2,"pl","Bonnat","ɛre",NA
"2574","Être","IMPERF-IND",3,"pl","Bonnat","ɛrɛ̃",NA
"2575","Pouvoir","IMPERF-IND",1,"sg","Bonnat","puj",2
"2576","Pouvoir","IMPERF-IND",2,"sg","Bonnat","pujɑ",2
"2577","Pouvoir","IMPERF-IND",3,"sg","Bonnat","puj",2
"2578","Pouvoir","IMPERF-IND",1,"pl","Bonnat","pujɛ̃",2
"2579","Pouvoir","IMPERF-IND",2,"pl","Bonnat","puje",2
"2580","Pouvoir","IMPERF-IND",3,"pl","Bonnat","pujɛ̃",2
"2581","Vouloir","IMPERF-IND",1,"sg","Bonnat","vuj",2
"2582","Vouloir","IMPERF-IND",2,"sg","Bonnat","vujɑ",2
"2583","Vouloir","IMPERF-IND",3,"sg","Bonnat","vuj",2
"2584","Vouloir","IMPERF-IND",1,"pl","Bonnat","vujɛ̃",2
"2585","Vouloir","IMPERF-IND",2,"pl","Bonnat","vuje",2
"2586","Vouloir","IMPERF-IND",3,"pl","Bonnat","vujɛ̃",2
"2587","Savoir","IMPERF-IND",1,"sg","Bonnat","saj",3
"2588","Savoir","IMPERF-IND",2,"sg","Bonnat","sajɑ",3
"2589","Savoir","IMPERF-IND",3,"sg","Bonnat","saj",3
"2590","Savoir","IMPERF-IND",1,"pl","Bonnat","sajɛ̃",3
"2591","Savoir","IMPERF-IND",2,"pl","Bonnat","saje",3
"2592","Savoir","IMPERF-IND",3,"pl","Bonnat","sajɛ̃",3
"2593","Devoir","IMPERF-IND",1,"sg","Bonnat","dəv",2
"2594","Devoir","IMPERF-IND",2,"sg","Bonnat","dəvjɑ",2
"2595","Devoir","IMPERF-IND",3,"sg","Bonnat","dəv",2
"2596","Devoir","IMPERF-IND",1,"pl","Bonnat","dəvjɛ̃",2
"2597","Devoir","IMPERF-IND",2,"pl","Bonnat","dəvje",2
"2598","Devoir","IMPERF-IND",3,"pl","Bonnat","dəvjɛ̃",2
"2599","Faire","IMPERF-IND",1,"sg","Bonnat","faz",3
"2600","Faire","IMPERF-IND",2,"sg","Bonnat","fazjɑ",3
"2601","Faire","IMPERF-IND",3,"sg","Bonnat","faz",3
"2602","Faire","IMPERF-IND",1,"pl","Bonnat","fazjɛ̃",3
"2603","Faire","IMPERF-IND",2,"pl","Bonnat","fazje",3
"2604","Faire","IMPERF-IND",3,"pl","Bonnat","fazjɛ̃",3
"2605","Venir","IMPERF-IND",1,"sg","Bonnat","vœnj",2
"2606","Venir","IMPERF-IND",2,"sg","Bonnat","v(ə)njɑ",2
"2607","Venir","IMPERF-IND",3,"sg","Bonnat","vœnj",2
"2608","Venir","IMPERF-IND",1,"pl","Bonnat","v(ə)njɛ̃",2
"2609","Venir","IMPERF-IND",2,"pl","Bonnat","v(ə)nje",2
"2610","Venir","IMPERF-IND",3,"pl","Bonnat","v(ə)njɛ̃",2
"2611","Tenir","IMPERF-IND",1,"sg","Bonnat","tœnj",2
"2612","Tenir","IMPERF-IND",2,"sg","Bonnat","t(ə)njɑ",2
"2613","Tenir","IMPERF-IND",3,"sg","Bonnat","tœnj",2
"2614","Tenir","IMPERF-IND",1,"pl","Bonnat","t(ə)njɛ̃",2
"2615","Tenir","IMPERF-IND",2,"pl","Bonnat","t(ə)nje",2
"2616","Tenir","IMPERF-IND",3,"pl","Bonnat","t(ə)njɛ̃",2
"2617","Dire","IMPERF-IND",1,"sg","Bonnat","diz",2
"2618","Dire","IMPERF-IND",2,"sg","Bonnat","dizjɑ",2
"2619","Dire","IMPERF-IND",3,"sg","Bonnat","diz",2
"2620","Dire","IMPERF-IND",1,"pl","Bonnat","dizjɛ̃",2
"2621","Dire","IMPERF-IND",2,"pl","Bonnat","dizje",2
"2622","Dire","IMPERF-IND",3,"pl","Bonnat","dizjɛ̃",2
"2623","Croire","IMPERF-IND",1,"sg","Bonnat","kœrz",2
"2624","Croire","IMPERF-IND",2,"sg","Bonnat","kœrzjɑ",2
"2625","Croire","IMPERF-IND",3,"sg","Bonnat","kœrz",2
"2626","Croire","IMPERF-IND",1,"pl","Bonnat","kœrzjɛ̃",2
"2627","Croire","IMPERF-IND",2,"pl","Bonnat","kœrzje",2
"2628","Croire","IMPERF-IND",3,"pl","Bonnat","kœrzjɛ̃",2
"2629","Prendre","IMPERF-IND",1,"sg","Bonnat","pœrn",3
"2630","Prendre","IMPERF-IND",2,"sg","Bonnat","pœrnjɑ",3
"2631","Prendre","IMPERF-IND",3,"sg","Bonnat","pœrn",3
"2632","Prendre","IMPERF-IND",1,"pl","Bonnat","pœrnjɛ̃",3
"2633","Prendre","IMPERF-IND",2,"pl","Bonnat","pœrnje",3
"2634","Prendre","IMPERF-IND",3,"pl","Bonnat","pœrnjɛ̃",3
"2635","Voir","IMPERF-IND",1,"sg","Bonnat","vøz",3
"2636","Voir","IMPERF-IND",2,"sg","Bonnat","vøz",3
"2637","Voir","IMPERF-IND",3,"sg","Bonnat","vøz",3
"2638","Voir","IMPERF-IND",1,"pl","Bonnat","v(ə)zjɛ̃",3
"2639","Voir","IMPERF-IND",2,"pl","Bonnat","v(ə)zje",3
"2640","Voir","IMPERF-IND",3,"pl","Bonnat","v(ə)zjɛ̃",3
"2641","Chanter","IMPERF-IND",1,"sg","Luchapt","ʃãti",2
"2642","Chanter","IMPERF-IND",2,"sg","Luchapt","ʃãti",2
"2643","Chanter","IMPERF-IND",3,"sg","Luchapt","ʃãti",2
"2644","Chanter","IMPERF-IND",1,"pl","Luchapt","ʃãtjã",2
"2645","Chanter","IMPERF-IND",2,"pl","Luchapt","ʃãtjɛ",2
"2646","Chanter","IMPERF-IND",3,"pl","Luchapt","ʃãtjã",2
"2647","Lier","IMPERF-IND",1,"sg","Luchapt","(Missing)",NA
"2648","Lier","IMPERF-IND",2,"sg","Luchapt","(Missing)",NA
"2649","Lier","IMPERF-IND",3,"sg","Luchapt","(Missing)",NA
"2650","Lier","IMPERF-IND",1,"pl","Luchapt","(Missing)",NA
"2651","Lier","IMPERF-IND",2,"pl","Luchapt","(Missing)",NA
"2652","Lier","IMPERF-IND",3,"pl","Luchapt","(Missing)",NA
"2653","Couver","IMPERF-IND",1,"sg","Luchapt","kwi",2
"2654","Couver","IMPERF-IND",2,"sg","Luchapt","kwi",2
"2655","Couver","IMPERF-IND",3,"sg","Luchapt","kwi",2
"2656","Couver","IMPERF-IND",1,"pl","Luchapt","kuvjã",2
"2657","Couver","IMPERF-IND",2,"pl","Luchapt","kuvjɛ",2
"2658","Couver","IMPERF-IND",3,"pl","Luchapt","kuvjã",2
"2659","Acheter","IMPERF-IND",1,"sg","Luchapt","aʃ(ə)ti",2
"2660","Acheter","IMPERF-IND",2,"sg","Luchapt","aʃ(ə)ti",2
"2661","Acheter","IMPERF-IND",3,"sg","Luchapt","aʃ(ə)ti",2
"2662","Acheter","IMPERF-IND",1,"pl","Luchapt","aʃ(ə)tjã",2
"2663","Acheter","IMPERF-IND",2,"pl","Luchapt","w aʃ(ə)tjɛ",2
"2664","Acheter","IMPERF-IND",3,"pl","Luchapt","aʃ(ə)tjã",2
"2665","Aller","IMPERF-IND",1,"sg","Luchapt","a/eni",NA
"2666","Aller","IMPERF-IND",2,"sg","Luchapt","a/eni",NA
"2667","Aller","IMPERF-IND",3,"sg","Luchapt","a/eni",NA
"2668","Aller","IMPERF-IND",1,"pl","Luchapt","a/enjã",NA
"2669","Aller","IMPERF-IND",2,"pl","Luchapt","w a/enjɛ",NA
"2670","Aller","IMPERF-IND",3,"pl","Luchapt","a/enjã",NA
"2671","Blanchir","IMPERF-IND",1,"sg","Luchapt","bjãʃisi",NA
"2672","Blanchir","IMPERF-IND",2,"sg","Luchapt","bjãʃisi",NA
"2673","Blanchir","IMPERF-IND",3,"sg","Luchapt","bjãʃisi",NA
"2674","Blanchir","IMPERF-IND",1,"pl","Luchapt","bjãʃisjã",NA
"2675","Blanchir","IMPERF-IND",2,"pl","Luchapt","bjãʃisjɛ",NA
"2676","Blanchir","IMPERF-IND",3,"pl","Luchapt","bjãʃisjã",NA
"2677","Couvrir","IMPERF-IND",1,"sg","Luchapt","(Missing)",NA
"2678","Couvrir","IMPERF-IND",2,"sg","Luchapt","(Missing)",NA
"2679","Couvrir","IMPERF-IND",3,"sg","Luchapt","(Missing)",NA
"2680","Couvrir","IMPERF-IND",1,"pl","Luchapt","(Missing)",NA
"2681","Couvrir","IMPERF-IND",2,"pl","Luchapt","(Missing)",NA
"2682","Couvrir","IMPERF-IND",3,"pl","Luchapt","(Missing)",NA
"2683","Partir","IMPERF-IND",1,"sg","Luchapt","parti",NA
"2684","Partir","IMPERF-IND",2,"sg","Luchapt","parti",NA
"2685","Partir","IMPERF-IND",3,"sg","Luchapt","parti",NA
"2686","Partir","IMPERF-IND",1,"pl","Luchapt","partijã",NA
"2687","Partir","IMPERF-IND",2,"pl","Luchapt","partijɛ",NA
"2688","Partir","IMPERF-IND",3,"pl","Luchapt","partijã",NA
"2689","Vendre","IMPERF-IND",1,"sg","Luchapt","vãdi",NA
"2690","Vendre","IMPERF-IND",2,"sg","Luchapt","vãdi",NA
"2691","Vendre","IMPERF-IND",3,"sg","Luchapt","vãdi",NA
"2692","Vendre","IMPERF-IND",1,"pl","Luchapt","vãdjã",NA
"2693","Vendre","IMPERF-IND",2,"pl","Luchapt","vãdjɛ",NA
"2694","Vendre","IMPERF-IND",3,"pl","Luchapt","vãdjã",NA
"2695","Avoir","IMPERF-IND",1,"sg","Luchapt","avi",NA
"2696","Avoir","IMPERF-IND",2,"sg","Luchapt","avi",NA
"2697","Avoir","IMPERF-IND",3,"sg","Luchapt","avi",NA
"2698","Avoir","IMPERF-IND",1,"pl","Luchapt","avjã",NA
"2699","Avoir","IMPERF-IND",2,"pl","Luchapt","w avjɛ",NA
"2700","Avoir","IMPERF-IND",3,"pl","Luchapt","avjã",NA
"2701","Être","IMPERF-IND",1,"sg","Luchapt","a/eti",NA
"2702","Être","IMPERF-IND",2,"sg","Luchapt","a/eti",NA
"2703","Être","IMPERF-IND",3,"sg","Luchapt","a/eti",NA
"2704","Être","IMPERF-IND",1,"pl","Luchapt","a/etjã",NA
"2705","Être","IMPERF-IND",2,"pl","Luchapt","w a/etjɛ",NA
"2706","Être","IMPERF-IND",3,"pl","Luchapt","a/etjã",NA
"2707","Pouvoir","IMPERF-IND",1,"sg","Luchapt","pødi",3
"2708","Pouvoir","IMPERF-IND",2,"sg","Luchapt","pødi",3
"2709","Pouvoir","IMPERF-IND",3,"sg","Luchapt","pødi",3
"2710","Pouvoir","IMPERF-IND",1,"pl","Luchapt","nø pødjã",3
"2711","Pouvoir","IMPERF-IND",2,"pl","Luchapt","pødjɛ",3
"2712","Pouvoir","IMPERF-IND",3,"pl","Luchapt","pødjã",3
"2713","Vouloir","IMPERF-IND",1,"sg","Luchapt","voli",3
"2714","Vouloir","IMPERF-IND",2,"sg","Luchapt","voli",3
"2715","Vouloir","IMPERF-IND",3,"sg","Luchapt","voli",3
"2716","Vouloir","IMPERF-IND",1,"pl","Luchapt","voljã",3
"2717","Vouloir","IMPERF-IND",2,"pl","Luchapt","voljɛ",3
"2718","Vouloir","IMPERF-IND",3,"pl","Luchapt","voljã",3
"2719","Savoir","IMPERF-IND",1,"sg","Luchapt","savi",3
"2720","Savoir","IMPERF-IND",2,"sg","Luchapt","savi",3
"2721","Savoir","IMPERF-IND",3,"sg","Luchapt","savi",3
"2722","Savoir","IMPERF-IND",1,"pl","Luchapt","savjã",3
"2723","Savoir","IMPERF-IND",2,"pl","Luchapt","savjɛ",3
"2724","Savoir","IMPERF-IND",3,"pl","Luchapt","savjã",3
"2725","Devoir","IMPERF-IND",1,"sg","Luchapt","dəvi",2
"2726","Devoir","IMPERF-IND",2,"sg","Luchapt","dəvi",2
"2727","Devoir","IMPERF-IND",3,"sg","Luchapt","dəvi",2
"2728","Devoir","IMPERF-IND",1,"pl","Luchapt","dəvjã",2
"2729","Devoir","IMPERF-IND",2,"pl","Luchapt","dəvjɛ",2
"2730","Devoir","IMPERF-IND",3,"pl","Luchapt","dəvjã",2
"2731","Faire","IMPERF-IND",1,"sg","Luchapt","fazi",3
"2732","Faire","IMPERF-IND",2,"sg","Luchapt","fazi",3
"2733","Faire","IMPERF-IND",3,"sg","Luchapt","fazi",3
"2734","Faire","IMPERF-IND",1,"pl","Luchapt","fazjã",3
"2735","Faire","IMPERF-IND",2,"pl","Luchapt","fazjɛ",3
"2736","Faire","IMPERF-IND",3,"pl","Luchapt","fazjã",3
"2737","Venir","IMPERF-IND",1,"sg","Luchapt","v(ə)ni",2
"2738","Venir","IMPERF-IND",2,"sg","Luchapt","v(ə)ni",2
"2739","Venir","IMPERF-IND",3,"sg","Luchapt","v(ə)ni",2
"2740","Venir","IMPERF-IND",1,"pl","Luchapt","vənjã",2
"2741","Venir","IMPERF-IND",2,"pl","Luchapt","vənjɛ",2
"2742","Venir","IMPERF-IND",3,"pl","Luchapt","vənjã",2
"2743","Tenir","IMPERF-IND",1,"sg","Luchapt","t(ə)ni",3
"2744","Tenir","IMPERF-IND",2,"sg","Luchapt","t(ə)ni",3
"2745","Tenir","IMPERF-IND",3,"sg","Luchapt","t(ə)ni",3
"2746","Tenir","IMPERF-IND",1,"pl","Luchapt","tənjã",3
"2747","Tenir","IMPERF-IND",2,"pl","Luchapt","tənjɛ",3
"2748","Tenir","IMPERF-IND",3,"pl","Luchapt","tənjã",3
"2749","Dire","IMPERF-IND",1,"sg","Luchapt","dizi",2
"2750","Dire","IMPERF-IND",2,"sg","Luchapt","dizi",2
